 
1958	550.95	   
1959	562.37	   
1960	573.79	   
1961	585.21	   
1962	596.63	   
1963	608.05	   
1964	624.84	   
1965	641.63	   
1966	658.41	   
1967	675.20	   
1968	691.98	   
1969	719.47	   
1970	746.95	   
1971	774.44	   
1972	801.92	   
1973	829.40	   
1974	872.64	   
1975	915.87	   
1976	959.11	   
1977	1002.35	   
1978	1045.58	   
1979	1099.05	   
1980	1152.51	   
1981	1205.97	   
1982	1259.44	   
1983	1312.90	   
1984	1362.24	   
1985	1408.61	   
1986	1454.77	   
1987	1502.79	   
1988	1554.24	   
1989	1604.25	   
1990	1660.25	   
1991	1724.06	   
1992	1786.84	   
1993	1846.72	   
1994	1892.09	   
1995	1927.00	   
1996	1953.05	   
1997	1956.85	   
1998	1949.66	   
1999	1927.90	   
2000	1906.54	   
2001	1889.37	   
2002	1875.13	   
2003	1843.74	   
2004	1814.76	   
2005	1788.98	   
2006	1774.12	   
2007	1755.45	   
2008	1739.40	   
2009	1721.14	   
2010	1706.84	   
2011	1690.47	   
2012	1668.76	   
2013	1656.51	   
2014	1644.44	   
2015	1632.11	   
2016	1615.68	   
2017	1603.28	   
2018	1590.07	 
