YEAR    DECJAN  JANFEB  FEBMAR  MARAPR  APRMAY  MAYJUN  JUNJUL  JULAUG  AUGSEP  SEPOCT  OCTNOV  NOVDEC
1992	1.747	1.886	1.985	2.247	2.085	1.735	1.045	.559	.488	.624	.569	.664
1993	.692	.99	.987	1.408	1.993	1.616	1.204	1.026	.966	1.045	.822	.595
1994	.352	.193	.159	.465	.58	.803	.904	.762	.893	1.389	1.282	1.251
1995	1.219	.959	.845	.453	.57	.507	.234	-.147	-.445	-.481	-.474	-.537
1996	-.597	-.566	-.236	-.391	-.041	.087	-.173	-.374	-.457	-.359	-.149	-.325
1997	-.48	-.605	-.248	.527	1.132	2.275	2.825	3.002	2.99	2.361	2.516	2.344
1998	2.455	2.777	2.751	2.658	2.206	1.336	.392	-.336	-.636	-.808	-1.071	-.908
1999	-1.039	-1.123	-.95	-.88	-.596	-.339	-.478	-.739	-.967	-.97	-1.041	-1.142
2000	-1.122	-1.189	-1.09	-.397	.251	.001	-.159	-.145	-.238	-.391	-.713	-.55
2001	-.496	-.649	-.548	-.05	.282	.052	.297	.332	-.174	-.276	-.151	.033
2002	.017	-.16	-.118	.401	.886	.932	.712	1.002	.881	.979	1.076	1.156
2003	1.214	.944	.83	.413	.214	.107	.177	.309	.46	.497	.563	.362
2004	.332	.37	-.036	.358	.558	.315	.571	.617	.558	.492	.794	.684
2005	.325	.816	1.057	.626	.885	.589	.519	.343	.296	-.179	-.385	-.55
2006	-.428	-.414	-.521	-.571	.045	.526	.716	.748	.8	.939	1.272	.965
2007	.985	.537	.125	.026	.348	-.155	-.248	-.442	-1.197	-1.217	-1.155	-1.178
2008	-1.006	-1.371	-1.552	-.858	-.345	.142	.088	-.269	-.58	-.699	-.588	-.646
2009	-.714	-.69	-.705	-.106	.326	.751	1.06	1.05	.707	.883	1.107	1.059
2010	1.066	1.526	1.462	.978	.658	-.228	-1.103	-1.671	-1.879	-1.892	-1.477	-1.558
2011	-1.719	-1.544	-1.554	-1.387	-.199	-.003	-.193	-.517	-.778	-.939	-.938	-.945
2012	-.98	-.675	-.382	.11	.757	.842	1.126	.607	.316	.069	.127	.111
2013	.103	-.068	-.026	.09	.205	-.094	-.314	-.481	-.155	.115	-.053	-.234
2014	-.27	-.259	.018	.295	1.001	1.046	.915	.937	.557	.421	.754	.566
2015	.417	.464	.614	.916	1.583	2.097	1.981	2.334	2.479	2.201	2.271	2.12
2016	2.216	2.17	1.963	2.094	1.752	1.053	.352	.167	-.118	-.385	-.209	-.11
2017	-.052	-.043	-.08	.744	1.445	1.039	.456	.009	-.478	-.568	-.285	-.576
2018	-.623	-.731	-.502	-.432	.465	.469	.076	.132	.509	.468	.698	
